created_at,entry_id,soil1,soil,temperature,humidity
2024-10-24T19:26:35+07:00,44221,25,42,24.1,85
2024-10-24T19:26:57+07:00,44222,25,42,24.1,85
2024-10-24T19:27:20+07:00,44223,25,42,24.1,85
2024-10-24T19:27:43+07:00,44224,26,42,24.1,84
2024-10-24T19:28:05+07:00,44225,26,40,24.1,84
2024-10-24T19:28:28+07:00,44226,26,41,24.1,83
2024-10-24T19:28:51+07:00,44227,25,41,24.1,83
2024-10-24T19:29:14+07:00,44228,26,41,24.1,82
2024-10-24T19:29:37+07:00,44229,25,43,24.1,83
2024-10-24T19:30:00+07:00,44230,25,42,24.1,84
2024-10-24T19:30:22+07:00,44231,26,40,24.1,83
2024-10-24T19:30:45+07:00,44232,25,42,24.1,83
2024-10-24T19:31:07+07:00,44233,25,41,24.1,84
2024-10-24T19:31:31+07:00,44234,26,40,24.1,85
2024-10-24T19:31:53+07:00,44235,25,41,24.1,85
2024-10-24T19:32:15+07:00,44236,26,43,24.1,84
2024-10-24T19:32:38+07:00,44237,26,40,24.1,83
2024-10-24T19:33:01+07:00,44238,26,42,24.1,82
2024-10-24T19:33:23+07:00,44239,25,42,24.1,82
2024-10-24T19:33:46+07:00,44240,25,40,24.1,82
2024-10-24T19:34:09+07:00,44241,26,40,24.1,83
2024-10-24T19:34:31+07:00,44242,26,42,24.1,83
2024-10-24T19:34:54+07:00,44243,25,41,24.1,83
2024-10-24T19:35:17+07:00,44244,27,41,24.1,83
2024-10-24T19:35:40+07:00,44245,25,41,24.1,83
2024-10-24T19:36:03+07:00,44246,26,42,24.1,83
2024-10-24T19:36:27+07:00,44247,25,42,24.1,84
2024-10-24T19:36:49+07:00,44248,25,42,24.1,85
2024-10-24T19:37:12+07:00,44249,26,43,24.1,85
2024-10-24T19:37:36+07:00,44250,25,41,24.1,85
2024-10-24T19:37:58+07:00,44251,26,41,24.1,85
2024-10-24T19:38:22+07:00,44252,27,41,24.1,85
2024-10-24T19:38:45+07:00,44253,25,42,24.1,85
2024-10-24T19:39:07+07:00,44254,25,40,24.1,86
2024-10-24T19:39:29+07:00,44255,25,41,24.1,86
2024-10-24T19:39:52+07:00,44256,26,42,24.1,86
2024-10-24T19:40:15+07:00,44257,26,41,24.1,86
2024-10-24T19:40:37+07:00,44258,26,41,24.1,85
2024-10-24T19:41:00+07:00,44259,26,42,24.1,86
2024-10-24T19:41:23+07:00,44260,25,42,24.1,87
2024-10-24T19:41:45+07:00,44261,24,41,24.1,86
2024-10-24T19:42:08+07:00,44262,25,42,24.1,85
2024-10-24T19:42:31+07:00,44263,25,41,24.1,85
2024-10-24T19:42:53+07:00,44264,26,41,24.1,84
2024-10-24T19:43:16+07:00,44265,27,41,24.1,85
2024-10-24T19:43:39+07:00,44266,25,41,24.1,85
2024-10-24T19:44:02+07:00,44267,25,39,24.1,85
2024-10-24T19:44:25+07:00,44268,26,41,24.1,85
2024-10-24T19:44:48+07:00,44269,26,43,24.1,85
2024-10-24T19:45:11+07:00,44270,25,41,24.1,85
2024-10-24T19:45:33+07:00,44271,26,41,24.1,84
2024-10-24T19:45:56+07:00,44272,26,41,24.1,85
2024-10-24T19:46:19+07:00,44273,26,40,24.1,85
2024-10-24T19:46:43+07:00,44274,26,41,24.1,85
2024-10-24T19:47:05+07:00,44275,25,42,24.1,85
2024-10-24T19:47:28+07:00,44276,25,40,24.1,85
2024-10-24T19:47:51+07:00,44277,25,42,24.1,85
2024-10-24T19:48:15+07:00,44278,26,43,24.1,85
2024-10-24T19:48:37+07:00,44279,25,41,24.1,85
2024-10-24T19:49:00+07:00,44280,26,42,24.1,85
2024-10-24T19:49:23+07:00,44281,25,41,24.1,86
2024-10-24T19:49:46+07:00,44282,25,42,24.1,88
2024-10-24T19:50:09+07:00,44283,26,41,24.1,88
2024-10-24T19:50:31+07:00,44284,26,42,24.1,87
2024-10-24T19:50:54+07:00,44285,25,43,24.1,86
2024-10-24T19:51:17+07:00,44286,25,43,24.1,86
2024-10-24T19:51:40+07:00,44287,26,40,24.1,86
2024-10-24T19:52:03+07:00,44288,26,42,24.1,86
2024-10-24T19:52:26+07:00,44289,26,42,24.1,86
2024-10-24T19:52:49+07:00,44290,25,43,24.1,87
2024-10-24T19:53:12+07:00,44291,25,41,24.1,88
2024-10-24T19:53:35+07:00,44292,26,41,24.1,88
2024-10-24T19:53:58+07:00,44293,25,41,24.1,88
2024-10-24T19:54:20+07:00,44294,25,42,24.1,88
2024-10-24T19:54:43+07:00,44295,25,42,24.1,88
2024-10-24T19:55:06+07:00,44296,26,41,24.1,88
2024-10-24T19:55:29+07:00,44297,26,42,24.1,88
2024-10-24T19:55:51+07:00,44298,25,41,24.1,89
2024-10-24T19:56:14+07:00,44299,25,42,24.1,89
2024-10-24T19:56:37+07:00,44300,26,41,24.1,90
2024-10-24T19:57:00+07:00,44301,26,42,24.1,90
2024-10-24T19:57:23+07:00,44302,25,40,24.1,90
2024-10-24T19:57:45+07:00,44303,25,41,24.1,89
2024-10-24T19:58:08+07:00,44304,25,42,24.1,89
2024-10-24T19:58:31+07:00,44305,25,43,24.1,89
2024-10-24T19:58:54+07:00,44306,25,41,24.1,89
2024-10-24T19:59:17+07:00,44307,25,43,24.1,90
2024-10-24T19:59:40+07:00,44308,25,42,24.1,90
2024-10-24T20:00:03+07:00,44309,25,40,24.1,90
2024-10-24T20:00:25+07:00,44310,25,42,24.1,91
2024-10-24T20:00:48+07:00,44311,26,42,24.1,91
2024-10-24T20:01:11+07:00,44312,26,43,24.1,92
2024-10-24T20:01:33+07:00,44313,26,40,24.1,92
2024-10-24T20:01:56+07:00,44314,26,42,24.1,92
2024-10-24T20:02:18+07:00,44315,25,41,24.1,91
